Team Name,Total GSV Amount (2019)
Finance/Acct::Sales Contract Security Reviews,"$10,608.00"
Ops::Freelancer Success::International,"$414,761.00"
Ops::Trust and Safety::R and D,"$185,086.00"
Ops::Trust & Safety::CPE Ops,"$1,008,530.00"
Ops::Trust & Safety::Identity Document Review,"$230,051.00"
PE::Application-Engineering::collaboration-platform-back-end,"$314,563.00"
PE::Application-Engineering::collaboration-platform-front-end,"$583,494.00"
PE::Application-Engineering::mobile-apps,"$247,909.00"
PE::Application-Engineering::monetization,"$473,214.00"
PE::Application-Engineering::orpc,"$552,443.00"
PE::Application-Engineering::upwork-desktop-app,"$294,514.00"
PE::Application-Engineering::user-interface,"$805,516.00"
PE::Application-Engineering::vertical-qa,"$48,546.00"
PE::Categories::category-frontend,"$1,327,367.00"
PE::Categories::job-postings,"$233,684.00"
PE::Cloud-Engineering::infrastructure-engineering,"$314,879.00"
PE::Cloud-Engineering::platform-engineering,"$627,815.00"
PE::Cloud-Engineering::service-engineering,"$130,018.00"
PE::Cloud-Engineering::tooling-and-automation,"$446,074.00"
PE::Data-Platform-Services::data-management,"$366,190.00"
PE::Data-Science::data-science-infrastructure,"$1,392,372.00"
PE::Data-Science::data-science-products,"$991,366.00"
PE::Enterprise::compliance,"$476,788.00"
PE::Enterprise::program-owner,"$459,308.00"
PE::Infosec::information-security,"$251,789.00"
PE::IT:it,"$184,457.00"
PE::Labs::domestic,"$466,505.00"
PE::New-User-Growth::visitor-site,"$847,995.00"
PE::Operation::billing-payments,"$766,656.00"
PE::Operation::BusinessPlatform::account-security,"$204,320.00"
PE::Operation::BusinessPlatform::api,"$151,720.00"
PE::Operation::core-operations,"$400,006.00"
PE::Operation::freelancer-services,"$130,465.00"
PE::Operation::trust-and-saftey-platform,"$392,518.00"
PE::Small-Business::reports-uta-backend,"$257,560.00"
PE::Small-Business::work-management,"$552,900.00"
PE::Small-Business::work-management-services,"$231,691.00"
PE::TechOps::cloud-engineering-data-infrastructure-engineering,"$175,432.00"
PE::TechOps::cloud-engineering-reliability-engineering,"$509,641.00"
PE::Tech-Support::technical-support,"$508,825.00"
